"feedback","translation"
"Nemá čepici znamená, že nemá nic na hlavě.","""Doesn't have a hat"" means there's nothing on their head."
"Nemá čiapku znamená, že na hlave nemá nič.","""Doesn't have a cap"" means there's nothing on their head."
"Nemá čiapku znamená, že na hlave nič nemá.","""Doesn't have a cap"" means there's nothing on their head."
"Nemáš len pridať dva, ale má ich byť o dva viac v červenom rámčeku ako v modrom.","You shouldn't just add two; there should be two more in the red box than in the blue box."
"Nemáš len pridať jeden, ale má ich tam byť o jeden viac ako v modrom rámčeku.","You shouldn't just add one; there should be one more than in the blue box."
"Nemáš len pridať jeden, ale v červenom rámčeku má byť o jeden viac ako v modrom.","You shouldn't just add one; there should be one more in the red box than in the blue box."
"Neponáhľaj sa. V kľude sa zamysli.","Don't rush. Take your time and think."
"Nesedí znamená, že nemá zadoček na stoličke ani na zemi.","""Not sitting"" means their bottom isn't on the chair or on the floor."
"Nesedí znamená, že nemá zadoček na zemi.","Not sitting means their bottom isn’t on the ground."
"Nesedieť znamená nemať zadoček na zemi ani na stoličke.","Not sitting means their bottom isn’t on the ground or on a chair."
"Nestačí len menej, ale menej ako v modrom rámčeku.","It’s not enough to have just fewer, it has to be fewer than in the blue box."
"Nestačí, aby bolo v červenom rámčeku len viac obrázkov, musí ich byť presne o jeden viac ako v modrom rámčeku.","It’s not enough for there to be just more pictures in the red box—there must be exactly one more than in the blue box."
"Nestačí, aby bolo v červenom rámčeku len viac obrázkov, musí ich byť viac ako v modrom rámčeku.","It’s not enough for there to be just more pictures in the red box—they must be more than in the blue box."
"Nestačí, aby bolo v červenom rámčeku len viac obrázkov, musí ich tam byť presne o dva viac ako v modrom rámčeku.","It’s not enough for there to be just more pictures in the red box—there must be exactly two more than in the blue box."
"Nestačí, aby bolo v červenom rámčeku len viac obrázkov, musí ich tam byť presne o jeden viac ako v modrom rámčeku.","It’s not enough for there to be just more pictures in the red box—there must be exactly one more than in the blue box."
"Nestačí, aby bolo v červenom rámčeku menej obrázkov, musí ich byť menej ako v modrom rámčeku.","It’s not enough for there to be fewer pictures in the red box—they have to be fewer than in the blue box."
"Nestačí, aby bolo v červenom rámčeku viac obrázkov, musí ich byť viac ako v modrom rámčeku.","It’s not enough for there to be more pictures in the red box—they have to be more than in the blue box."
"Nestačí, aby bolo v červenom rámčeku viac obrázkov, musí ich tam byť presne o jeden viac ako v modrom rámčeku.","It’s not enough for there to be more pictures in the red box—there must be exactly one more than in the blue box."
"Nestačí, aby bolo v modrom rámčeku len viac obrázkov, musí ich byť presne o dva viac ako v červenom rámčeku.","It's not enough for there to just be more pictures in the blue box; there must be exactly two more than in the red box."
"Nestačí, aby bolo v modrom rámčeku len viac obrázkov, musí ich tam byť presne o dva viac ako v červenom rámčeku.","It's not enough for there to just be more pictures in the blue box; there must be exactly two more than in the red box."
"Nestačí, aby bolo v modrom rámčeku len viac obrázkov, musí ich tam byť presne o jeden viac ako v červenom rámčeku.","It's not enough for there to just be more pictures in the blue box; there must be exactly one more than in the red box."
"Nestačí, aby bolo v modrom rámčeku viac obrázkov, musí ich tam byť presne o jeden viac ako v červenom rámčeku.","It's not enough for there to be more pictures in the blue box; there must be exactly one more than in the red box."
"Nestáť znamená nemať nohy rovno na zemi, ale napríklad sedieť alebo ležať.","Not standing means not having your feet flat on the ground, but for example, sitting or lying down."
"Nestát znamená, že třeba sedí nebo leží.","Not standing means you might be sitting or lying down."
"Nestojí znamená, že nemá nohy na zemi a nesedí ani neleží.","Not standing means your feet are not on the ground and you are not sitting or lying down."
"Nestojí znamená, že nemá nohy na zemi a nesedí ani nestojí rovno.","Not standing means your feet are not on the ground and you are not sitting or standing up straight."
"Nestojí znamená, že nemá nohy rovno na zemi, ale napríklad sedí alebo leží.","Not standing means your feet are not flat on the ground, but for example, you are sitting or lying down."
"Nézzünk meg más lehetőségeket.","Let's look at some other options."
"Nie je to človek, má čiapku a sedí.","It's not a person, it has a hat, and it's sitting."
"Nie je to človek, má čiapku a stojí.","It's not a person, it has a hat, and it's standing."
"Nie je to zviera, má čiapku a sedí.","It's not an animal, it has a hat, and it's sitting."
"Nie je to zviera, má čiapku a stojí.","It's not an animal, it has a hat, and it's standing."
"Nie je to zviera, nemá čiapku a sedí.","It's not an animal, it doesn't have a hat, and it's sitting."
"Nie je to zviera, nemá čiapku a stojí.","It’s not an animal, it doesn’t have a hat, and it’s standing."
"Nie przejmuj się, jeśli nie wiesz jak to zrobić. Możesz to pominąć klikając w żółty przycisk.","Don’t worry if you don’t know how to do it. You can skip it by clicking the yellow button."
"Opice, ktoré visia zo stromu.","Monkeys hanging from the tree."
"Ôsmy obrázok.","The eighth picture."
"Ovocie, ktoré je na tráve.","Fruit that is on the grass."
"Piaty obrázok.","The fifth picture."
"Počítaj obrázky pekne po poradí. Ktorý je deviaty? Vyber ho.","Count the pictures in order. Which one is ninth? Pick it."
"Počítaj obrázky pekne po poradí. Ktorý je štvrtý? Vyber ho.","Count the pictures in order. Which one is fourth? Pick it."
"Počítaj obrázky poporiadku. Ktorý je piaty? Vyber ho.","Count the pictures in order. Which one is fifth? Pick it."
"Počítaj obrázky poporiadku. Ktorý je šiesty? Vyber ho.","Count the pictures in order. Which one is sixth? Pick it."
"Počítaš všetky obrázky? Vybral si správne číslo?","Did you count all the pictures? Did you pick the right number?"
"Podľa čoho sa obrázky menia?","How are the pictures changing?"
"Pomyśl jeszcze chwilę.","Think a little more."
"Porovnaj, koľko obrázkov je v prvom rámčeku a koľko v ostatných.","Compare how many pictures are in the first box and how many are in the others."
"Porovnaj, v ktorom rámčeku sú tri obrázky.","Compare which box has three pictures."
"Posledný obrázok.","The last picture."
"Pozri sa, v ktorom rámčeku sú tri obrázky.","Look to see which box has three pictures."
"Pozri si všetky obrázky. Ako sa striedajú?","Look at all the pictures. How do they take turns?"
"Próbáld meg újra!","Try again!"
"Próbáld meg újra.","Try again."
"První už znáš. Které obrázky jsou hned za ním? Vyber je všechny.","You already know the first one. Which pictures come right after it? Select them all."
"Prvý obrázok je ten úplne na začiatku vľavo.","The first picture is the one all the way on the left."
"Prvý obrázok.","The first picture."
"Prvý už poznáš. Kde je úplne posledný obrázok v rade?","You already know the first one. Where is the very last picture in the row?"
"Prvý už poznáš. Ktorý je hneď za ním?","You already know the first one. Which one is right after it?"
"Ružové kvety majú farbu ako líca bábiky alebo cukrová vata.","Pink flowers are the color of a doll’s cheeks or cotton candy."
"Ružové kvety majú farbu ako líca, keď sa hanbíš.","Pink flowers are the color of your cheeks when you feel shy."
"Ružové kvety majú farbu ako žuvačka alebo prasiatko.","Pink flowers are the color of bubblegum or a piglet."
"Ružové kvety.","Pink flowers."
"Sedieť znamená mať zadoček na stoličke alebo na zemi.","To sit means to have your bottom on a chair or on the ground."
"Sedieť znamená mať zadoček na zemi alebo na stoličke.","To sit means to have your bottom on the ground or on a chair."
"Siedmy obrázok.","The seventh picture."
"Šiesty obrázok.","The sixth picture."
"Skús si pustiť inštrukciu ešte raz, aby bolo v modrom rámčeku o dva obrázky menej ako v červenom rámčeku.","Try playing the instruction again so there are two fewer pictures in the blue box than in the red box."
"Skús si pustiť inštrukciu ešte raz, aby v modrom rámčeku bolo o dva obrázky menej ako v červenom.","Try playing the instruction again so there are two fewer pictures in the blue box than in the red one."
"Skús si pustiť inštrukciu ešte raz.","Try playing the instruction again."
"Skús si pustiť inštrukciu ešte raz. Červený rámček, modrý rámček.","Try playing the instruction again. Red box, blue box."
"Skús si pustiť inštrukciu ešte raz. V červenom rámčeku je menej obrázkov ako v modrom rámčeku.","Try playing the instruction again. There are fewer pictures in the red box than in the blue box."
"Skús si pustiť inštrukciu ešte raz. V červenom rámčeku má byť menej obrázkov ako v modrom rámčeku.","Try playing the instruction again. There should be fewer pictures in the red box than in the blue box."
"Skús si pustiť inštrukciu ešte raz. V červenom rámčeku má byť o dva obrázky menej ako v modrom rámčeku.","Try playing the instruction again. There should be two fewer pictures in the red box than in the blue box."
"Skús si pustiť inštrukciu ešte raz. V červenom rámčeku má byť o jeden obrázok menej ako v modrom rámčeku.","Try playing the instruction again. There should be one fewer picture in the red box than in the blue box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku je menej obrázkov ako v červenom rámčeku.","Try playing the instruction again. There are fewer pictures in the blue box than in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku je nula obrázkov a v červenom rámčeku je nula obrázkov.","Try playing the instruction again. There are zero pictures in the blue box and zero pictures in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku má byť menej obrázkov ako v červenom rámčeku.","Try playing the instruction again. There should be fewer pictures in the blue box than in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku má byť menej obrázkov ako v červenom rámčeku. V modrom je nula obrázkov a v červenom je nula obrázkov.","Try playing the instruction again. There should be fewer pictures in the blue box than in the red box. There are zero pictures in the blue box and zero pictures in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku má byť o dva obrázky menej ako v červenom rámčeku.","Try playing the instruction again. There should be two fewer pictures in the blue box than in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku má byť o dva obrázky menej ako v červenom.","Try playing the instruction again. There should be two fewer pictures in the blue box than in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku má byť o jeden obrázok menej ako v červenom.","Try playing the instruction again. There should be one less picture in the blue box than in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku má byť viac obrázkov ako v červenom rámčeku.","Try playing the instruction again. There should be more pictures in the blue box than in the red box."
"Skús si pustiť inštrukciu ešte raz. V modrom rámčeku má byť viac obrázkov ako v červenom.","Try playing the instruction again. There should be more pictures in the blue box than in the red box."
"Skús spočítať obrázky v každom rámčeku a nájdi ten, kde je ich tri.","Try counting the pictures in each box and find the one that has three."
"Skús spočítať obrázky v každom rámčeku a nájdi ten, kde sú štyri.","Try counting the pictures in each box and find the one that has four."
"Skús spočítať obrázky v každom rámčeku a porovnaj ich s prvým rámčekom.","Try counting the pictures in each box and compare them to the first box."
"Spočítaj obrázky. Vyber číslo. Zapamätaj si ho.","Count the pictures. Pick a number. Remember it."
"Spróbuj jeszcze raz.","Try again."
"Stáť znamená nemať zadoček na stoličke ani na zemi.","Standing means your bottom is not on the chair or on the floor."
"Stáť znamená nemať zadoček na zemi.","To stand means not having your bottom on the ground."
"Štvrtý obrázok.","The fourth picture."
"Tadiaľto cesta nevedie.","The path doesn’t go this way."
"The picture right after the fourth picture.","The picture right after the fourth picture."
"The picture right after the sixth picture.","The picture right after the sixth picture."
"The picture right before the tenth picture.","The picture right before the tenth picture."
"The picture right before the third picture.","The picture right before the third picture."
"There are four pictures in the gray box. Where is one picture less?","There are four pictures in the gray box. Where is there one picture less?"
"There should be fewer in the red box than in the blue box.","There should be fewer in the red box than in the blue box."
"There should be more in the red box than in the blue box.","There should be more in the red box than in the blue box."
"There should be one more in the red than in the blue, but you can only move the blue.","There should be one more in the red than in the blue, but you can only move the blue."
"There should be two more in the red than in the blue.","There should be two more in the red than in the blue."
"To je posledný obrázok. Ktoré všetky obrázky sú pred ním?","This is the last picture. Which pictures come before it?"
"To je posledný obrázok. Ktorý je pred ním?","This is the last picture. Which one comes before it?"
"To nie je správna odpoveď.","That’s not the right answer."
"Tretí obrázok.","The third picture."
"Try listening to the instruction again. The red box should have fewer pictures than the blue box.","Try listening to the instruction again. The red box should have fewer pictures than the blue box."
"Umět létat znamená, že se zvíře může vznášet ve vzduchu jako pták.","Being able to fly means that the animal can float in the air like a bird."
"Uprostred radu.","In the middle of the row."
"V červenej má byť menej ako v modrej.","There should be fewer in the red than in the blue."
"V červenom má byť menej ako v modrom.","There should be fewer in the red than in the blue."
"V červenom má byť o dva menej ako v modrom, ale hýbať môžeš len s modrým.","There should be two fewer in the red than in the blue, but you can only move the blue."
"V červenom má byť o dva menej ako v modrom, ale s červeným nemôžeš hýbať.","There should be two fewer in the red than in the blue, but you can't move the red."
"V červenom má byť o dva menej ako v modrom.","There should be two fewer in the red than in the blue."
"V červenom má byť o dva viac ako v modrom, ale s červeným nemôžeš hýbať.","There should be two more in the red than in the blue, but you can't move the red."
"V červenom má byť o dva viac ako v modrom.","There should be two more in the red than in the blue."
"V červenom má byť o jeden menej ako v modrom, ale s červeným nemôžeš hýbať.","There should be one fewer in the red than in the blue, but you can't move the red."
"V červenom má byť o jeden menej ako v modrom.","There should be one fewer in the red than in the blue."
"V červenom má byť o jeden viac ako v modrom, ale s červeným nemôžeš hýbať.","There should be one more in the red than in the blue, but you can't move the red."
"V červenom má byť o jeden viac ako v modrom.","There should be one more in the red than in the blue."
"V červenom má byť viac ako v modrom.","There should be more in the red than in the blue."
"V modrom má byť menej ako v červenom.","There should be fewer in the blue than in the red."
"V modrom má byť o dva menej ako v červenom, ale s modrým nemôžeš hýbať.","There should be two fewer in the blue than in the red, but you can't move the blue."
"V modrom má byť o dva menej ako v červenom.","There should be two fewer in the blue than in the red."
"V modrom má byť o dva viac ako v červenom, ale s modrým nemôžeš hýbať.","There should be two more in the blue than in the red, but you can't move the blue."
"V modrom má byť o dva viac ako v červenom.","There should be two more in the blue than in the red."
"V modrom má byť o jeden menej ako v červenom, ale s modrým nemôžeš hýbať.","There should be one fewer in the blue than in the red, but you can't move the blue."
"V modrom má byť o jeden menej ako v červenom.","There should be one fewer in the blue than in the red."
"V modrom má byť o jeden viac ako v červenom, ale s modrým nemôžeš hýbať.","There should be one more in the blue than in the red, but you can't move the blue."
"V modrom má byť o jeden viac ako v červenom.","There should be one more in the blue than in the red."
"V modrom má byť rovnako ako v červenom.","There should be the same number in the blue box as in the red box."
"V modrom má byť viac ako v červenom.","There should be more in the blue box than in the red box."
"V oboch rámčekoch je menej obrázkov ako v prvom rámčeku, ale len v jednom je presne o jeden menej. Ktorý to je?","Both boxes have fewer pictures than the first box, but only one has exactly one less. Which one is it?"
"V oboch rámčekoch je menej obrázkov ako v prvom rámčeku, ale len v jednom je presne o jeden menej. V ktorom?","Both boxes have fewer pictures than the first box, but only one has exactly one less. Which one?"
"V oboch rámčekoch je menej obrázkov ako v prvom, ale len v jednom je presne o dva menej. Ktorý to je?","Both boxes have fewer pictures than the first one, but only one has exactly two less. Which one is it?"
"V oboch rámčekoch je menej obrázkov ako v prvom, ale len v jednom je presne o dva menej. V ktorom?","Both boxes have fewer pictures than the first one, but only one has exactly two less. Which one?"
"V oboch rámčekoch je menej obrázkov ako v prvom, ale len v jednom je presne o jeden menej. Ktorý to je?","Both boxes have fewer pictures than the first one, but only one has exactly one less. Which one is it?"
"V oboch rámčekoch je menej obrázkov ako v prvom, ale len v jednom je presne o jeden menej. V ktorom?","Both boxes have fewer pictures than the first one, but only one has exactly one less. Which one?"
"V oboch rámčekoch je síce menej obrázkov ako v prvom rámčeku, ale len v jednom je presne o dva menej. V ktorom?","Both boxes have fewer pictures than the first box, but only one has exactly two less. Which one?"
"V oboch rámčekoch je síce viac obrázkov ako v prvom, ale len v jednom je presne o dva viac. V ktorom?","Both boxes have more pictures than the first one, but only one has exactly two more. Which one?"
"V oboch rámčekoch je viac obrázkov ako v prvom, ale len v jednom je presne o dva viac. Ktorý to je?","Both boxes have more pictures than the first one, but only one has exactly two more. Which one is it?"
"V oboch rámčekoch je viac obrázkov ako v prvom, ale len v jednom je presne o dva viac. V ktorom?","Both boxes have more pictures than the first one, but only one has exactly two more. Which one?"
"V oboch rámčekoch je viac obrázkov ako v prvom, ale len v jednom je presne o jeden obrázok viac. Ktorý to je?","Both boxes have more pictures than the first one, but only one has exactly one more picture. Which one is it?"
"V oboch rámčekoch je viac obrázkov ako v prvom, ale len v jednom je presne o jeden obrázok viac. Ktorý?","Both boxes have more pictures than the first one, but only one has exactly one more picture. Which one?"
"V oboch rámčekoch je viac obrázkov ako v prvom, ale len v jednom je presne o jeden viac. Ktorý to je?","Both boxes have more pictures than the first one, but only one has exactly one more. Which one is it?"
"V oboch rámčekoch je viac obrázkov ako v prvom, ale len v jednom je presne o jeden viac. Ktorý?","Both boxes have more pictures than the first one, but only one has exactly one more. Which one?"
"V prvom rámčeku je desať obrázkov. Kde je o dva obrázky menej?","The first box has ten pictures. Where are there two pictures fewer?"
"V prvom rámčeku je desať obrázkov. Kde je o jeden obrázok menej?","The first box has ten pictures. Where is there one picture fewer?"
"V prvom rámčeku je jeden obrázok. Kde je o dva obrázky viac?","The first box has one picture. Where are there two pictures more?"
"V prvom rámčeku je jeden obrázok. Kde je o jeden obrázok viac?","The first box has one picture. Where is there one picture more?"
"V prvom rámčeku je jeden obrázok. V ktorom rámčeku je o jeden obrázok viac?","There is one picture in the first box. Which box has one more picture?"
"V prvom rámčeku je päť obrázkov. Kde je o dva obrázky menej?","There are five pictures in the first box. Where are there two fewer pictures?"
"V prvom rámčeku je päť obrázkov. Kde je o dva obrázky viac?","There are five pictures in the first box. Where are there two more pictures?"
"V prvom rámčeku je päť obrázkov. Kde je o jeden obrázok menej?","There are five pictures in the first box. Where is there one fewer picture?"
"V prvom rámčeku sú dva obrázky. Kde je o dva obrázky viac?","There are two pictures in the first box. Where are there two more pictures?"
"V prvom rámčeku sú dva obrázky. Kde je o jeden obrázok viac?","There are two pictures in the first box. Where is there one more picture?"
"V prvom rámčeku sú štyri obrázky. Kde je o dva obrázky menej?","There are four pictures in the first box. Where are there two fewer pictures?"
"V prvom rámčeku sú štyri obrázky. Kde je o jeden obrázok menej?","There are four pictures in the first box. Where is there one fewer picture?"
"V prvom rámčeku sú tri obrázky. Kde je o dva obrázky menej?","There are three pictures in the first box. Where are there two fewer pictures?"
"V prvom rámčeku sú tri obrázky. Kde je o dva obrázky viac?","There are three pictures in the first box. Where are there two more pictures?"
"V prvom rámčeku sú tri obrázky. Kde je o jeden obrázok menej?","In the first box, there are three pictures. Where is there one picture less?"
"V šedom rámčeku je desať obrázkov. Kde sú o dva obrázky menej?","In the grey box, there are ten pictures. Where are there two pictures less?"
"V šedom rámčeku je jeden obrázok. Kde je o dva obrázky viac?","In the grey box, there is one picture. Where are there two pictures more?"
"V šedom rámčeku je jeden obrázok. Kde je o jeden obrázok viac?","In the grey box, there is one picture. Where is there one picture more?"
"V šedom rámčeku je osem obrázkov. Kde je o dva obrázky menej?","In the grey box, there are eight pictures. Where are there two pictures less?"
"V šedom rámčeku je päť obrázkov. Kde je o dva obrázky menej?","In the grey box, there are five pictures. Where are there two pictures less?"
"V šedom rámčeku je päť obrázkov. Kde je o jeden obrázok menej?","In the grey box, there are five pictures. Where is there one picture less?"
"V šedom rámčeku je päť obrázkov. Kde je o jeden obrázok viac?","In the grey box, there are five pictures. Where is there one picture more?"
"V šedom rámčeku je sedem obrázkov. Kde je o dva obrázky menej?","In the grey box, there are seven pictures. Where are there two pictures less?"
"V šedom rámčeku je sedem obrázkov. Kde je o dva obrázky viac?","In the grey box, there are seven pictures. Where are there two pictures more?"
"V šedom rámčeku je sedem obrázkov. Kde je o jeden obrázok menej?","There are seven pictures in the gray box. Where is there one picture less?"
"V šedom rámčeku sú dva obrázky. Kde je o dva obrázky viac?","There are two pictures in the gray box. Where are there two more pictures?"
"V šedom rámčeku sú dva obrázky. Kde je o jeden obrázok viac?","There are two pictures in the gray box. Where is there one more picture?"
"V šedom rámčeku sú štyri obrázky. Kde je o dva obrázky menej?","There are four pictures in the gray box. Where are there two pictures less?"
"V šedom rámčeku sú štyri obrázky. Kde je o jeden obrázok menej?","There are four pictures in the gray box. Where is there one picture less?"
"V šedom rámčeku sú tri obrázky. Kde je o dva obrázky menej?","There are three pictures in the gray box. Where are there two pictures less?"
"V šedom rámčeku sú tri obrázky. Kde je o jeden obrázok menej?","There are three pictures in the gray box. Where is there one picture less?"
"V sivom rámčeku je desať obrázkov. Kde je o dva obrázky menej?","There are ten pictures in the gray box. Where are there two pictures less?"
"V sivom rámčeku je deväť obrázkov. Kde je o dva obrázky menej?","There are nine pictures in the gray box. Where are there two pictures less?"
"V sivom rámčeku je deväť obrázkov. Kde je o jeden obrázok menej?","There are nine pictures in the gray box. Where is there one picture less?"
"V sivom rámčeku je jeden obrázok. Kde je o dva obrázky viac?","There is one picture in the gray box. Where are there two more pictures?"
"V sivom rámčeku je jeden obrázok. Kde je o jeden obrázok viac?","There is one picture in the gray box. Where is there one more picture?"
"V sivom rámčeku je jeden obrázok. Kde sú o dva obrázky viac?","There is one picture in the gray box. Where are there two more pictures?"
"V sivom rámčeku je osem obrázkov. Kde je o jeden obrázok menej?","There are eight pictures in the gray box. Where is there one fewer picture?"
"V sivom rámčeku je osem obrázkov. Kde je o jeden obrázok viac?","There are eight pictures in the gray box. Where is there one more picture?"
"V sivom rámčeku je päť obrázkov. Kde je o jeden obrázok menej?","There are five pictures in the gray box. Where is there one fewer picture?"
"V sivom rámčeku je päť obrázkov. Kde je o jeden obrázok viac?","There are five pictures in the gray box. Where is there one more picture?"
"V sivom rámčeku je sedem obrázkov. Kde je o dva obrázky viac?","There are seven pictures in the gray box. Where are there two more pictures?"
"V sivom rámčeku je sedem obrázkov. Kde je o jeden obrázok menej?","There are seven pictures in the gray box. Where is there one fewer picture?"
"V sivom rámčeku je šesť obrázkov. Kde je o jeden obrázok viac?","There are six pictures in the gray box. Where is there one more picture?"
"V sivom rámčeku je tri obrázky. Kde je o dva obrázky viac?","There are three pictures in the gray box. Where are there two more pictures?"
"V sivom rámčeku je tri obrázky. Kde je o jeden obrázok viac?","There are three pictures in the gray box. Where is there one more picture?"
"V sivom rámčeku sú dva obrázky. Kde je o dva obrázky viac?","There are two pictures in the gray box. Where are there two more pictures?"
"V sivom rámčeku sú dva obrázky. Kde je o jeden obrázok viac?","There are two pictures in the gray box. Where is there one more picture?"
"V sivom rámčeku sú štyri obrázky. Kde je o dva obrázky menej?","There are four pictures in the gray box. Where are there two fewer pictures?"
"V sivom rámčeku sú tri obrázky. Kde je o dva obrázky menej?","There are three pictures in the gray box. Where are there two fewer pictures?"
"V sivom rámčeku sú tri obrázky. Kde je o dva obrázky viac?","There are three pictures in the gray box. Where are there two more pictures?"
"V sivom rámčeku sú tri obrázky. Kde je o jeden obrázok menej?","There are three pictures in the gray box. Where is there one fewer picture?"
"V sivom rámčeku sú tri obrázky. Kde je o jeden obrázok viac?","There are three pictures in the gray box. Where is there one more picture?"
"V strede dole znamená, že niečo je úplne dole a presne v strede.","In the middle at the bottom means something is all the way at the bottom and exactly in the middle."
"V strede hore znamená, že niečo je úplne hore a presne v strede.","In the middle at the top means something is all the way at the top and exactly in the middle."
"Vagóniky s rovnakým počtom musia byť v jednom vláčiku.","Train cars with the same number must be in the same train."
"Vedel lietať znamená hýbať sa vo vzduchu ako vták.","Could fly means to move in the air like a bird."
"Vedia lietať znamená, že sa vedia zdvihnúť do vzduchu a hýbať sa tam.","Can fly means they can lift up into the air and move around there."
"Vedieť lietať znamená hýbať sa vo vzduchu ako vtáčik.","To be able to fly means to move in the air like a little bird."
"Vieš čo znamená o dva menej?","Do you know what “two less” means?"
"Vieš čo znamená o dva viac?","Do you know what “two more” means?"
"Vieš čo znamená o jeden menej?","Do you know what “one less” means?"
"Vieš čo znamená o jeden obrázok menej?","Do you know what “one picture less” means?"
"Vieš čo znamená o jeden obrázok viac?","Do you know what “one picture more” means?"
"Vieš čo znamená o jeden viac?","Do you know what “one more” means?"
"Vieš isto, že máš v červenom rámčeku menej obrázkov ako v modrom rámčeku?","Are you sure you have fewer pictures in the red box than in the blue box?"
"Vieš isto, že máš v modrom rámčeku menej obrázkov ako v červenom rámčeku?","Are you sure you have fewer pictures in the blue box than in the red box?"
"Vieš isto, že máš v modrom rámčeku viac obrázkov ako v červenom rámčeku?","Are you sure you have more pictures in the blue box than in the red box?"
"Vieš isto, že máš v oboch rámčekoch rovnaký počet obrázkov?","Are you sure you have the same number of pictures in both boxes?"
"Vieš, čo to znamená, že obrázky zmizli?","Do you know what it means when the pictures disappear?"
"Vieš, čo znamená dole v strede?","Do you know what “down in the middle” means?"
"Vieš, čo znamená hore v strede?","Do you know what “up in the middle” means?"
"Vieš, čo znamená v hornom rámčeku v strede?","Do you know what “in the top box in the middle” means?"
"Vieš, čo znamená v ľavom hornom rámčeku?","Do you know what “in the top left box” means?"
"Vieš, čo znamená v pravom hornom rámčeku?","Do you know what it means in the top right box?"
"Vieš, čo znamená v spodnom rámčeku v strede?","Do you know what it means in the middle of the bottom box?"
"Vieš, čo znamená vľavo dole?","Do you know what it means in the bottom left?"
"Vieš, čo znamená vľavo hore?","Do you know what it means in the top left?"
"Vieš, čo znamená vľavo v strede?","Do you know what it means in the middle on the left?"
"Vieš, čo znamená vpravo dole?","Do you know what it means in the bottom right?"
"Vieš, čo znamená vpravo hore?","Do you know what it means in the top right?"
"Vieš, čo znamená vpravo v strede?","Do you know what it means in the middle on the right?"
"Vieš, kde je posledný obrázok? Ktoré všetky obrázky sú pred ním?","Do you know where the last picture is? Which pictures come before it?"
"Vieš, kde je posledný obrázok? Ktorý je hneď pred ním?","Do you know where the last picture is? Which one is right before it?"
"Vieš, kde je prvé a posledné lízatko? Ktoré všetky obrázky sú medzi nimi?","Do you know where the first and last lollipop are? Which pictures are in between them?"
"Vieš, kde je prvý a posledný obrázok? Ktoré obrázky sú medzi nimi?","Do you know where the first and last picture are? Which pictures are in between them?"
"Vieš, kde je prvý a posledný obrázok? Ktoré všetky obrázky sú medzi nimi?","Do you know where the first and last picture are? Which pictures are in between them?"
"Vieš, kde je prvý a posledný obrázok? Ktorý obrázok je presne medzi nimi uprostred?","Do you know where the first and last picture are? Which picture is exactly in the middle between them?"
"Vieš, ktorý je druhý obrázok? Vyber obrázok hneď pred ním.","Do you know which one is the second picture? Pick the picture right before it."
"Vieš, ktorý je druhý obrázok? Vyber obrázok hneď za ním.","Do you know which one is the second picture? Pick the picture right after it."
"Vieš, ktorý je ôsmy obrázok? Vyber obrázok hneď pred ním.","Do you know which one is the eighth picture? Pick the picture right before it."
"Vieš, ktorý je prvý obrázok? Vyber všetky obrázky za ním.","Do you know which one is the first picture? Pick all the pictures after it."
"Vieš, ktorý je siedmy obrázok? Vyber obrázok hneď pred ním.","Do you know which one is the seventh picture? Pick the picture right before it."
"Vieš, ktorý je štvrtý obrázok? Vyber obrázok hneď pred ním.","Do you know which one is the fourth picture? Pick the picture right before it."
"Vieš, ktorý je tretí obrázok? Vyber obrázok hneď pred ním.","Do you know which one is the third picture? Pick the picture right before it."
"Vieš, ktorý je tretí obrázok? Vyber obrázok hneď za ním.","Do you know which one is the third picture? Pick the picture right after it."
"Vieš, ktorý obrázok je desiaty? Vyber obrázok hneď pred ním.","Do you know which picture is the tenth? Pick the picture right before it."
"Vieš, ktorý obrázok je deviaty? Vyber obrázok hneď pred ním.","Do you know which picture is the ninth? Pick the picture right before it."
"Vieš, ktorý obrázok je deviaty? Vyber obrázok hneď za ním.","Do you know which picture is the ninth? Pick the picture right after it."
"Vieš, ktorý obrázok je druhý? Vyber obrázok hneď pred ním.","Do you know which picture is the second? Pick the picture right before it."
"Vieš, ktorý obrázok je ôsmy? Vyber obrázok hneď pred ním.","Do you know which picture is the eighth? Pick the picture right before it."
"Vieš, ktorý obrázok je ôsmy? Vyber obrázok hneď za ním.","Do you know which picture is the eighth? Pick the picture right after it."
"Vieš, ktorý obrázok je piaty? Vyber obrázok hneď pred ním.","Do you know which picture is the fifth? Pick the picture right before it."
"Vieš, ktorý obrázok je prvý? Vyber všetky obrázky za ním.","Do you know which picture is the first? Pick all the pictures after it."
"Vieš, ktorý obrázok je siedmy? Vyber obrázok hneď pred ním.","Do you know which picture is seventh? Pick the picture right before it."
"Vieš, ktorý obrázok je siedmy? Vyber obrázok hneď za ním.","Do you know which picture is seventh? Pick the picture right after it."
